 written on  2Jun2021 at 12:57:20 
  -2.6988037638089994        0.0000000000000000        2.6988037638089994     
   0.0000000000000000        2.6988037638089994        2.6988037638089994     
  -2.6988037638089994        2.6988037638089994        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    8    5   -0.21035207E-02  0.44221977E-03
    1    6   -0.35325003E-02  0.12275210E-03
    2    6    0.21969655E-01 -0.56927005E-02
    3    6    0.50682699E-02 -0.98571961E-03
    4    6    0.13936015E-01 -0.44789215E-02
    5    6    0.19215637E-01  0.48306864E-02
    6    6   -0.58833766E-02  0.19461164E-09
    7    6   -0.34943781E-02  0.60805854E-03
    8    6   -0.11310428E-02 -0.44222396E-04
    1    7    0.39320209E-02  0.54428626E-03
    2    7   -0.51461779E-02  0.41907528E-03
    3    7   -0.14635448E-01  0.28989265E-03
    4    7   -0.22477324E-01  0.31372843E-02
    5    7   -0.21148007E-02 -0.94080008E-03
    6    7   -0.34823022E-02 -0.60595692E-03
    7    7    0.74806877E-03  0.14098763E-09
    8    7   -0.38811706E-02 -0.83277838E-03
    1    8    0.11288209E-02 -0.83474547E-04
    2    8   -0.14830661E-01  0.44679955E-02
    3    8    0.38055688E-01 -0.89574308E-02
    4    8    0.13750634E-01 -0.50200545E-02
    5    8    0.30861405E-02  0.64879593E-03
    6    8   -0.64707068E-02  0.25299601E-03
    7    8    0.27522727E-02 -0.59055242E-03
    8    8    0.74806332E-03 -0.62435560E-10

   -4    1    2
    1    1    0.74806565E-03  0.22261622E-09
    2    1    0.33224431E-02 -0.73879450E-03
    3    1    0.63164416E-02 -0.10022095E-02
    4    1    0.11257808E-01 -0.31913243E-02
    5    1   -0.32703132E-02 -0.94402350E-03
    6    1   -0.18831945E-02 -0.65439650E-04
    7    1    0.39320217E-02 -0.54428652E-03
    8    1   -0.39587047E-02 -0.29274025E-03
    1    2    0.18596737E-02  0.41352618E-03
    2    2   -0.58824233E-02  0.24681261E-10
    3    2    0.35275588E-02  0.21704176E-03
    4    2    0.39630751E-02 -0.22782786E-03
    5    2    0.23033757E-03  0.12578369E-03
    6    2    0.20807813E-02  0.53916475E-03
    7    2    0.62178808E-02  0.50634852E-03
    8    2    0.71263691E-02  0.21469425E-02
    1    3    0.25339352E-02  0.40205141E-03
    2    3    0.35397638E-02 -0.21779221E-03
    3    3    0.74699622E-03 -0.36318101E-09
    4    3   -0.10273103E-01  0.12269957E-02
    5    3   -0.15824723E-02 -0.74186843E-03
    6    3   -0.61247046E-02 -0.11911836E-02
    7    3    0.19047269E-02  0.37728310E-04
    8    3   -0.60725474E-02 -0.14293372E-02
    1    4    0.60020166E-02  0.17014308E-02
    2    4   -0.21794387E-02 -0.12529113E-03
